ID_Venta,Fecha,Producto,Categoria,Precio,Cantidad,ID_Cliente,Region
1,2023-01-15,Laptop Gamer,Electronica,1500.5,1.0,101,Norte
2,2023-01-16,Mouse Inalambrico,Accesorios,25.0,2.0,102,
3,2023-01-17,Teclado Mecanico,Accesorios,75.99,1.0,101,Norte
4,18/01/2023,Monitor 24",Monitores,250.0,1.0,103,Sur
5,2023-01-19,,Monitores,300.0,1.0,104,Centro
6,2023-01-20,Laptop Gamer,Electronica,1500.5,1.0,101,Norte
7,2023-01-21,Silla Gamer,Muebles,200.0,N/A,105,Oeste
8,2023-01-22,Webcam HD,Accesorios,-50.0,1.0,106,Norte
9,2023-01-23,Microfono,accesorios,60.0,1.0,107,Sur
10,2023-01-24,Tarjeta Grafica RTX 4090,Componentes,1799.99,1.0,108,Este
11,25/01/2023,SSD 1TB,Componentes,99.5,2.0,109,Norte
12,2023-01-26,Memoria RAM 16GB,componentes,55.0,2.0,110,Sur
13,2023-01-27,Fuente de Poder 750W,Componentes,120.0,1.0,111,Centro
14,2023-01-28,Gabinete ATX,Componentes,85.0,1.0,102,Oeste
15,2023-01-29,Procesador Ryzen 9,Componentes,550.0,1.0,112,Este
16,2023-01-30,Monitor Curvo 32",Monitores,450.0,1.0,113,Norte
17,2023-01-31,Auriculares Bluetooth,Accesorios,65.0,1.0,114,Sur
18,2023-02-01,Disco Duro Externo 2TB,Almacenamiento,70.0,1.0,115,Centro
19,02/02/2023,Alfombrilla XL,Accesorios,20.0,3.0,101,Oeste
20,2023-02-03,Router WiFi 6,Redes,110.0,1.0,116,
21,2023-02-04,Impresora Multifuncional,perifericos,180.0,1.0,117,Norte
22,2023-02-05,Hub USB-C,Accesorios,35.0,1.0,118,Sur
23,2023-02-06,Filtro de Red,Accesorios,15.0,N/A,119,Centro
24,2023-02-07,Bocinas 2.1,Audio,90.0,1.0,120,Oeste
25,08/02/2023,Tarjeta Madre B550,Componentes,150.0,1.0,121,Este
26,2023-02-09,Ventiladores RGB,Componentes,40.0,4.0,122,Norte
27,2023-02-10,Pasta Termica,Componentes,10.0,1.0,123,Sur
28,2023-02-11,,Perifericos,22.0,2.0,124,Centro
29,2023-02-12,Monitor 27" 4K,monitores,-400.0,1.0,125,Oeste
30,2023-02-13,Teclado Inalambrico,Accesorios,45.0,1.0,103,Este
31,2023-01-15,Laptop Gamer,Electronica,1500.5,1.0,101,Norte
32,14/02/2023,Soporte para Monitor,Accesorios,30.0,1.0,126,Norte
33,2023-02-15,Camara de Seguridad,Seguridad,80.0,2.0,127,Sur
34,2023-02-16,Adaptador HDMI,accesorios,12.0,1.0,128,Centro
35,2023-02-17,Mesa de Escritorio,Muebles,150.0,1.0,105,Oeste
36,2023-02-18,Cable Ethernet 10m,Redes,18.0,1.0,129,Este
37,2023-02-19,Bateria Externa,Accesorios,40.0,1.0,130,Norte
38,2023-02-20,SSD 512GB,almacenamiento,50.0,1.0,131,Sur
39,21/02/2023,Microfono de Solapa,Audio,25.0,1.0,132,Centro
40,2023-02-22,Audifonos con Microfono,Audio,55.0,N/A,133,
41,2023-02-23,Smartwatch,vestibles,-120.0,1.0,134,Este
42,2023-02-24,Tablet 10",Electronica,250.0,1.0,135,Norte
43,2023-02-25,Lector de Tarjetas,Accesorios,15.0,1.0,136,Sur
44,2023-02-26,,Electronica,5.0,3.0,137,Centro
45,2023-02-27,Cargador Inalambrico,Accesorios,30.0,1.0,138,Oeste
46,28/02/2023,Proyector HD,Video,280.0,1.0,139,Este
47,2023-03-01,Laptop de Oficina,Electronica,899.99,1.0,140,Norte
48,2023-03-02,Mousepad,Accesorios,10.0,1.0,141,Sur
49,2023-03-03,Teclado Numerico,perifericos,18.0,1.0,142,Centro
50,2023-03-04,Monitor Portatil,Monitores,210.0,1.0,143,Oeste
51,05/03/2023,Webcam Full HD,Video,75.0,1.0,144,Este
52,2023-03-06,Repetidor WiFi,Redes,45.0,1.0,145,Norte
53,2023-03-07,Base para Laptop,Accesorios,28.0,1.0,146,Sur
54,2023-03-08,Disco Duro Interno 4TB,Almacenamiento,110.0,1.0,147,
55,2023-03-09,Kit de Limpieza,Accesorios,12.0,2.0,148,Oeste
56,2023-03-10,Gafas de Realidad Virtual,Videojuegos,399.0,1.0,149,Este
57,2023-03-11,Volante para Carreras,Videojuegos,250.0,1.0,150,Norte
58,12/03/2023,Control para PC,videojuegos,50.0,2.0,151,Sur
59,2023-03-13,Capturadora de Video,Video,130.0,1.0,152,Centro
60,2023-03-14,Aro de Luz LED,Video,35.0,1.0,153,Oeste
61,2023-03-15,Chromecast,Video,40.0,1.0,154,Este
62,2023-03-16,,Electronica,12.0,1.0,155,Norte
63,2023-03-17,Kindle,Electronica,90.0,1.0,156,Sur
64,2023-03-18,Drone,Juguetes,-150.0,1.0,157,Centro
65,19/03/2023,Cargador de Pared USB,Accesorios,15.0,3.0,158,Oeste
66,2023-03-20,Bocina Inteligente,Audio,60.0,1.0,159,Este
67,2023-03-21,Mouse Ergonómico,Accesorios,45.0,1.0,160,Norte
68,2023-03-22,Teclado para Tablet,Accesorios,55.0,N/A,161,Sur
69,2023-03-23,Pantalla Inteligente,Hogar,120.0,1.0,162,Centro
70,2023-03-24,Foco Inteligente,hogar,18.0,4.0,163,Oeste
71,2023-03-25,Enchufe Inteligente,Hogar,15.0,2.0,164,Este
72,26/03/2023,Termostato Inteligente,Hogar,80.0,1.0,165,Norte
73,2023-03-27,Bascula Inteligente,Hogar,35.0,1.0,166,Sur
74,2023-03-28,Purificador de Aire,Hogar,110.0,1.0,167,Centro
75,2023-03-29,Aspiradora Robot,Hogar,300.0,1.0,168,Oeste
76,2023-03-30,Licuadora,hogar,50.0,1.0,169,
77,2023-03-31,Cafetera,Hogar,60.0,1.0,170,Norte
78,2023-04-01,Horno de Microondas,Hogar,100.0,1.0,171,Sur
79,02/04/2023,Refrigerador,Hogar,-800.0,1.0,172,Centro
